SdkName,SdkType,Metric,Run,Value
admob,Advertising,Memory,27,66.53515625
admob,Advertising,Memory,28,67.3210720486111
admob,Advertising,Memory,29,68.2914496527777
admob,Advertising,Memory,30,67.3372395833333
applovin,Advertising,Memory,1,52.2242838541667
applovin,Advertising,Memory,2,46.771484375
applovin,Advertising,Memory,3,55.7302517361111
applovin,Advertising,Memory,4,47.7473958333333
applovin,Advertising,Memory,5,46.5259331597223
applovin,Advertising,Memory,6,49.4418402777777
applovin,Advertising,Memory,7,41.8379991319444
applovin,Advertising,Memory,8,47.7837456597223
applovin,Advertising,Memory,9,45.7097439236111
applovin,Advertising,Memory,10,44.4784071180556
applovin,Advertising,Memory,11,39.2759331597223
applovin,Advertising,Memory,12,55.076171875
applovin,Advertising,Memory,13,48.1998697916667
applovin,Advertising,Memory,14,43.9220920138889
applovin,Advertising,Memory,15,49.5593532986111
applovin,Advertising,Memory,16,47.8448350694444
applovin,Advertising,Memory,17,56.6620008680556
applovin,Advertising,Memory,18,51.3991970486111
applovin,Advertising,Memory,19,47.3384331597223
applovin,Advertising,Memory,20,46.4575737847223
applovin,Advertising,Memory,21,45.3875868055556
applovin,Advertising,Memory,22,50.3904079861111
applovin,Advertising,Memory,23,50.4674479166667
applovin,Advertising,Memory,24,49.5479600694444
applovin,Advertising,Memory,25,45.7579210069444
applovin,Advertising,Memory,26,55.2276475694444
applovin,Advertising,Memory,27,50.0643446180556
applovin,Advertising,Memory,28,41.9500868055556
applovin,Advertising,Memory,29,45.3677300347223
applovin,Advertising,Memory,30,48.3051215277777
mopub,Advertising,Memory,1,62.3980034722223
mopub,Advertising,Memory,2,63.3505859375
mopub,Advertising,Memory,3,67.2185329861111
mopub,Advertising,Memory,4,62.8605685763889
mopub,Advertising,Memory,5,68.0749782986111
mopub,Advertising,Memory,6,64.1650390625
mopub,Advertising,Memory,7,63.0951605902777
mopub,Advertising,Memory,8,67.4112413194444
mopub,Advertising,Memory,9,62.4465060763889
mopub,Advertising,Memory,10,67.1287977430556
mopub,Advertising,Memory,11,68.0975477430556
mopub,Advertising,Memory,12,66.4547526041667
mopub,Advertising,Memory,13,66.6220703125
mopub,Advertising,Memory,14,39.0249565972223
mopub,Advertising,Memory,15,65.6257595486111
mopub,Advertising,Memory,16,63.904296875
mopub,Advertising,Memory,17,66.2961154513889
mopub,Advertising,Memory,18,63.1920572916667
mopub,Advertising,Memory,19,64.7690972222223
mopub,Advertising,Memory,20,63.4263237847223
mopub,Advertising,Memory,21,65.4544270833333
mopub,Advertising,Memory,22,63.9956597222223
mopub,Advertising,Memory,23,68.2302517361111
mopub,Advertising,Memory,24,66.7668185763889
mopub,Advertising,Memory,25,68.1032986111111
mopub,Advertising,Memory,26,66.7078993055556
mopub,Advertising,Memory,27,63.796875
mopub,Advertising,Memory,28,68.0524088541667
mopub,Advertising,Memory,29,68.111328125
mopub,Advertising,Memory,30,65.0495876736111
admob,Advertising,Network,1,338
admob,Advertising,Network,2,315
admob,Advertising,Network,3,318
admob,Advertising,Network,4,317
admob,Advertising,Network,5,313
admob,Advertising,Network,6,320
admob,Advertising,Network,7,316
admob,Advertising,Network,8,371
admob,Advertising,Network,9,647
admob,Advertising,Network,10,385
admob,Advertising,Network,11,686
admob,Advertising,Network,12,441
admob,Advertising,Network,13,316
admob,Advertising,Network,14,314
admob,Advertising,Network,15,306
admob,Advertising,Network,16,330
admob,Advertising,Network,17,317
admob,Advertising,Network,18,301
admob,Advertising,Network,19,312
admob,Advertising,Network,20,323
admob,Advertising,Network,21,316
admob,Advertising,Network,22,412
admob,Advertising,Network,23,311
admob,Advertising,Network,24,320
admob,Advertising,Network,25,316
admob,Advertising,Network,26,316
admob,Advertising,Network,27,316
admob,Advertising,Network,28,316
admob,Advertising,Network,29,315
admob,Advertising,Network,30,315
applovin,Advertising,Network,1,289
applovin,Advertising,Network,2,4455
applovin,Advertising,Network,3,269
applovin,Advertising,Network,4,2984
applovin,Advertising,Network,5,118
applovin,Advertising,Network,6,8845
applovin,Advertising,Network,7,295
applovin,Advertising,Network,8,115
applovin,Advertising,Network,9,93
applovin,Advertising,Network,10,263
applovin,Advertising,Network,11,442
applovin,Advertising,Network,12,3857
applovin,Advertising,Network,13,257
applovin,Advertising,Network,14,119
applovin,Advertising,Network,15,4446
applovin,Advertising,Network,16,342
applovin,Advertising,Network,17,4994
applovin,Advertising,Network,18,4782
applovin,Advertising,Network,19,98
applovin,Advertising,Network,20,4403
applovin,Advertising,Network,21,3667
applovin,Advertising,Network,22,6212
applovin,Advertising,Network,23,6998
applovin,Advertising,Network,24,3711
applovin,Advertising,Network,25,164
applovin,Advertising,Network,26,325
applovin,Advertising,Network,27,165
applovin,Advertising,Network,28,3696
applovin,Advertising,Network,29,272
applovin,Advertising,Network,30,692
mopub,Advertising,Network,1,319
mopub,Advertising,Network,2,324
mopub,Advertising,Network,3,317
mopub,Advertising,Network,4,321
mopub,Advertising,Network,5,411
mopub,Advertising,Network,6,321
mopub,Advertising,Network,7,317
mopub,Advertising,Network,8,323
mopub,Advertising,Network,9,315
mopub,Advertising,Network,10,326
mopub,Advertising,Network,11,319
mopub,Advertising,Network,12,324
mopub,Advertising,Network,13,319
mopub,Advertising,Network,14,8.3896484375
mopub,Advertising,Network,15,316
mopub,Advertising,Network,16,412
mopub,Advertising,Network,17,316
mopub,Advertising,Network,18,318
mopub,Advertising,Network,19,318
mopub,Advertising,Network,20,324
mopub,Advertising,Network,21,328
mopub,Advertising,Network,22,322
mopub,Advertising,Network,23,332
mopub,Advertising,Network,24,315
mopub,Advertising,Network,25,318
mopub,Advertising,Network,26,320
mopub,Advertising,Network,27,326
mopub,Advertising,Network,28,318
mopub,Advertising,Network,29,318
mopub,Advertising,Network,30,327
firebase,Analytics,CPU,1,0.681818181818182
firebase,Analytics,CPU,2,2
firebase,Analytics,CPU,3,1.59090909090909
firebase,Analytics,CPU,4,1.61904761904762
firebase,Analytics,CPU,5,1.23809523809524
firebase,Analytics,CPU,6,2.45
firebase,Analytics,CPU,7,2.3
firebase,Analytics,CPU,8,1.33333333333333
