"firstIndividual","secondIndividual","group","variable","firstValue","secondValue","difference","percentage","pvalue","significant","effect"
"firebase","flurry","Analytics","Network",0.00536632537841797,0.017578125,-0.012211799621582,-69.4715711805556,1.95840665293692e-09,1,"large"
"firebase","flurry","Analytics","Permissions",5,5,0,0,0,1,NA
"firebase","google","Analytics","APK size",2.00193500519,2.22387886047,-0.22194385528,-9.98003350025522,0,1,NA
"firebase","google","Analytics","CPU",1.65833333333333,1.38095238095238,0.27738095238095,16.7264895908111,0.00410610092171406,1,"medium"
"firebase","google","Analytics","Energy",213.489599059874,214.063165139343,-0.573566079469003,-0.267942445443916,0.122944608779972,0,"-"
"firebase","google","Analytics","Memory",35.5668057528408,35.3634366122159,0.203369140624901,0.57179478539103,0.0015246839056553,1,"medium"
"firebase","google","Analytics","Network",0.00536632537841797,0.00119400024414062,0.00417232513427734,77.7501332859428,2.9407755338139e-10,1,"large"
"firebase","google","Analytics","Permissions",5,3,2,40,0,1,NA
"flurry","google","Analytics","APK size",2.33451652527,2.22387886047,0.1106376648,4.73921103587837,0,1,NA
"flurry","google","Analytics","CPU",1.5,1.38095238095238,0.11904761904762,7.936507936508,0.00153278294462292,1,"large"
"flurry","google","Analytics","Energy",213.995051916243,214.063165139343,-0.0681132230999992,-0.0318192170314128,0.831500482872491,0,"-"
"flurry","google","Analytics","Memory",36.1670809659092,35.3634366122159,0.803644353693301,2.22203266680772,1.67493933837969e-12,1,"large"
"flurry","google","Analytics","Network",0.017578125,0.00119400024414062,0.0163841247558594,93.2074652777778,3.29190959611066e-12,1,"large"
"flurry","google","Analytics","Permissions",5,3,2,40,0,1,NA
