SdkName,SdkType,Run,Metric,MinValue,AvgValue,MedValue,MaxValue
crashlytics,CrashReporting,7,Memory,25673,35139.5714285714,36810,37376
crashlytics,CrashReporting,8,Memory,23410,34851,37045,37388
crashlytics,CrashReporting,9,Memory,31895,35935.8333333333,36511,37453
newrelic,CrashReporting,10,Memory,24619,35456.2857142857,37292,39393
newrelic,CrashReporting,11,Memory,11290,33265.2857142857,37263,37414
newrelic,CrashReporting,12,Memory,25121,35589.8571428571,37347,39595
newrelic,CrashReporting,13,Memory,10760,33124.1428571429,36939,37295
newrelic,CrashReporting,14,Memory,10167,32870.7142857143,36075,37253
newrelic,CrashReporting,15,Memory,9944,32992.1428571429,36859,37295
newrelic,CrashReporting,16,Memory,27948,35634.4285714286,37283,37312
newrelic,CrashReporting,17,Memory,24417,35245.2857142857,37332,37684
newrelic,CrashReporting,18,Memory,25751,35437.5714285714,37313,37987
newrelic,CrashReporting,19,Memory,11718,32781.5714285714,36166,37361
newrelic,CrashReporting,1,Memory,10092,30577.7142857143,36058,37582
newrelic,CrashReporting,20,Memory,9991,33017.2857142857,36855,37315
newrelic,CrashReporting,21,Memory,8556,33131.7142857143,37287,39227
newrelic,CrashReporting,22,Memory,9706,33265.2857142857,37230,39247
newrelic,CrashReporting,23,Memory,10820,33141.4285714286,37162,37259
newrelic,CrashReporting,24,Memory,9687,32902.5714285714,36801,37227
newrelic,CrashReporting,25,Memory,9645,32916.1428571429,36831,37255
newrelic,CrashReporting,26,Memory,9610,32909.4285714286,36846,37247
newrelic,CrashReporting,27,Memory,9480,33200.5714285714,37323,38669
newrelic,CrashReporting,28,Memory,24198,35240.4285714286,37363,37750
newrelic,CrashReporting,29,Memory,25820,34850.8571428571,36164,37331
newrelic,CrashReporting,2,Memory,9649,32923,36880,37251
newrelic,CrashReporting,30,Memory,9484,32950,36878,37325
newrelic,CrashReporting,3,Memory,12101,32641.3333333333,36634.5,37209
newrelic,CrashReporting,4,Memory,26978,35497.2857142857,37269,37323
newrelic,CrashReporting,5,Memory,12309,33426.2857142857,37273,37578
newrelic,CrashReporting,6,Memory,24740,35300.1428571429,37322,37731
newrelic,CrashReporting,7,Memory,25492,35336,37301,37615
newrelic,CrashReporting,8,Memory,19836,32668.4285714286,36138,40100
newrelic,CrashReporting,9,Memory,12538,33324.2857142857,36802,37251
